티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
038290,마크로젠,361441,361441,0,7314640200,7314640200,0
001080,만호제강,453255,453255,0,15532258050,15532258050,0
267980,매일유업,224270,224270,0,11676192500,11676192500,0
005990,매일홀딩스,99504,99504,0,861302010,861302010,0
093520,매커스,1847730,1847730,0,15974015580,15974015580,0
377030,맥스트,8818913,8818913,0,110074023650,110074023650,0
088980,맥쿼리인프라,15912288,15912288,0,179864260400,179864260400,0
094800,맵스리얼티1,945375,945375,0,3947314980,3947314980,0
100590,머큐리,1918256,1918256,0,11903947730,11903947730,0
067280,멀티캠퍼스,155346,155346,0,5486705650,5486705650,0
072870,메가스터디,389099,389099,0,4446908800,4446908800,0
215200,메가스터디교육,1176561,1176561,0,93002298500,93002298500,0
133750,메가엠디,11898417,11898417,0,35295525240,35295525240,0
235980,메드팩토,1271141,1271141,0,30371390300,30371390300,0
200580,메디쎄이,34904,34904,0,471730700,471730700,0
041920,메디아나,30374100,30374100,0,176993225355,176993225355,0
233250,메디안디노스틱,59,59,0,1642150,1642150,0
014100,메디앙스,1128874,1128874,0,3654330695,3654330695,0
236340,메디젠휴먼케어,16560,16560,0,87649915,87649915,0
054180,메디콕스,14928127,14928127,0,51573534635,51573534635,0
086900,메디톡스,734298,734298,0,95519139000,95519139000,0
078160,메디포스트,1054751,1054751,0,15430147450,15430147450,0
065650,메디프론,5035724,5035724,0,6646062890,6646062890,0
138040,메리츠금융지주,12632324,12632324,0,500017563700,500017563700,0
008560,메리츠증권,31286453,31286453,0,186874897690,186874897690,0
000060,메리츠화재,4838778,4838778,0,226950595350,226950595350,0
021880,메이슨캐피탈,29894076,29894076,0,11343772050,11343772050,0
140410,메지온,3836999,3836999,0,52029606700,52029606700,0
241770,메카로,139208,139208,0,1550661050,1550661050,0
090370,메타랩스,1269799,1269799,0,3810242365,3810242365,0
059210,메타바이오메드,1789967,1789967,0,4235055830,4235055830,0
058110,멕아이씨에스,73856892,73856892,0,433306952570,433306952570,0
017180,명문제약,8733164,8733164,0,26971537735,26971537735,0
009900,명신산업,7120731,7120731,0,116939354200,116939354200,0
012690,모나리자,5724098,5724098,0,17915288220,17915288220,0
005360,모나미,1267475,1267475,0,4207103675,4207103675,0
080420,모다이노칩,3129903,3129903,0,10337966260,10337966260,0
417970,모델솔루션,378964,378964,0,7436350850,7436350850,0
080160,모두투어,2471177,2471177,0,41758504200,41758504200,0
204210,모두투어리츠,512079,512079,0,2251930625,2251930625,0
087260,모바일어플라이언스,6935761,6935761,0,21908079930,21908079930,0
