티커,BPS,PER,PBR,EPS,DIV,DPS
095720,3142,85.74,0.74,27,4.75,110
005820,55263,5.9,0.37,3500,1.69,350
010600,561,0.0,5.5,0,0.0,0
008600,1522,0.0,0.32,0,0.0,0
033270,22971,9.07,1.21,3058,1.44,400
014830,135798,3.64,0.4,14826,3.7,2000
446070,18122,95.0,0.47,90,0.0,0
000910,7741,0.0,0.71,0,2.27,125
047400,1996,0.0,1.6,0,1.1,35
011330,1678,84.85,1.67,33,0.71,20
077500,13196,8.07,1.13,1853,1.34,200
002920,11419,3.89,0.25,741,4.17,120
000700,13726,4.61,0.41,1218,7.13,400
003470,8081,12.34,0.32,209,4.26,110
003475,0,0.0,0.0,0,6.23,160
072130,4499,18.05,0.74,185,0.0,0
000220,7144,0.0,0.66,0,2.21,105
000225,0,0.0,0.0,0,2.6,110
000227,0,0.0,0.0,0,1.1,110
001200,10623,23.6,0.37,168,1.51,60
000100,28354,55.15,2.59,1329,0.55,400
000105,0,0.0,0.0,0,0.68,410
003460,10892,33.88,0.21,67,4.85,110
003465,0,0.0,0.0,0,5.22,120
008730,13460,0.0,2.4,0,0.78,250
008250,18762,13.69,0.37,501,1.46,100
025820,3804,29.42,1.32,171,0.99,50
214320,42482,11.67,0.97,3530,5.22,2150
139480,418373,1.91,0.17,37528,2.79,2000
457190,0,0.0,0.0,0,0.0,0
007660,3515,19.94,9.19,1620,0.31,100
005950,11236,18.29,1.66,1019,2.68,500
015020,1165,0.0,0.65,0,0.0,0
093230,1584,0.0,0.88,0,0.0,0
074610,1107,0.0,6.26,0,0.0,0
102460,13956,38.82,1.15,415,0.93,150
084680,1742,32.88,0.75,40,0.0,0
000760,54787,853.33,0.28,18,0.0,0
014990,537,0.0,1.78,0,0.0,0
101140,747,0.0,0.63,0,0.0,0
006490,567,0.0,2.19,0,0.0,0
023800,13364,10.77,0.76,947,1.96,200
034590,48520,8.63,0.53,2956,4.9,1250
129260,8867,2.17,0.27,1092,5.06,120
023810,11399,7.86,0.91,1320,1.74,180
249420,7140,0.0,2.35,0,0.0,0
000230,1046,0.0,10.11,0,0.95,100
013360,2224,13.78,0.71,115,0.32,5
003120,60174,1.6,0.37,14122,17.76,4005
003200,39009,1.81,0.23,5047,5.46,500
007110,713,37.73,1.59,30,0.0,0
007570,12974,15.95,1.27,1036,0.91,150
007575,0,0.0,0.0,0,1.17,175
008500,3682,0.0,3.5,0,0.0,0
081000,28217,0.0,0.55,0,1.93,300
020760,562,0.0,2.01,0,0.0,0
103590,9304,14.1,0.99,653,1.41,130
271940,8667,122.94,2.75,194,0.0,0
015860,9402,10.18,0.43,400,3.69,150
226320,20944,0.0,0.78,0,0.92,150
317400,12735,2.1,0.4,2447,5.84,300
033240,17892,0.0,1.43,0,0.0,0
000950,184874,0.42,0.13,59197,4.01,1000
194370,20205,2.52,0.64,5118,6.59,850
025620,10836,0.0,0.68,0,0.0,0
030000,11967,10.08,1.61,1913,5.96,1150
271980,10837,0.0,1.58,0,0.29,50
001560,12792,27.88,0.65,297,3.26,270
002620,22003,0.0,0.51,0,0.44,50
006220,16243,14.2,0.56,636,1.11,100
089590,3986,0.0,3.21,0,0.0,0
004910,16695,0.0,0.42,0,1.44,100
004700,106403,28.55,0.46,1706,0.0,0
001550,11842,8.0,1.12,1664,0.0,0
